"Geo_GEOID","Geo_NAME","SE_T002_001","SE_T002_002","SE_T002_003","SE_T012_001","SE_T012_002","SE_T012_003","SE_T057_001","SE_T098_001","SE_T104_001","B25077001","B25077001s","lng","lat"
"05000US01129","Washington County, Alabama","16909","15.65349","1080.206691","41.4","38.7","44","40293","1982","615","81100","4223.030303", -88.20785704033003, 31.407628826596127
"05000US01131","Wilcox County, Alabama","11119","12.51437","888.4982757","40.2","38.3","42.1","24442","1984","457","81600","4404.242424", -87.30819503542874, 31.98930435378555
"05000US01133","Winston County, Alabama","24013","39.17424","612.9792725","44.1","43.3","45.3","33896","1983","540","77700","3117.575758", -87.37366414378748, 34.1491978482244
"05000US02013","Aleutians East Borough, Alaska","3299","0.4725035","6981.959292","42.8","42.4","44.9","65926","1982","939","124500","5387.878788", -161.9818674069057, 55.36657292224239
"05000US02020","Anchorage Municipality, Alaska","299321","175.3895","1706.607098","32.8","32.1","33.6","80862","1981","1231","298000","1809.69697", -149.10909767024813, 61.15077436388893
"05000US02050","Bethel Census Area, Alaska","17885","0.4408416","40570.12542","26.8","27.2","26.5","53296","1985","1175","151400","12483.0303", -159.82121074658747, 60.91373476097708
"05000US02060","Bristol Bay Borough, Alaska","942","1.869604","503.8501182","40.7","41.6","40.1","88000","1983","1040","199000","12945.45455", -156.7036882896091, 58.74213746322612
"05000US02068","Denali Borough, Alaska","2125","0.1666981","12747.59626","37.3","38.7","36.8","81302","1988","933","228600","14748.48485", -150.0094295995414, 63.67319544033392
"05000US02070","Dillingham Census Area, Alaska","4980","0.2681927","18568.73587","29.7","30.9","28.5","56055","1985","1018","196400","9013.333333", -158.21298610310274, 59.799778084796955
"05000US02090","Fairbanks North Star Borough, Alaska","100150","13.63828","7343.299333","30.7","29.8","31.7","73831","1984","1240","224000","4073.333333", -146.5636533367662, 64.80792122828389
"05000US02100","Haines Borough, Alaska","2528","1.08956","2320.202404","44.6","43.8","48.2","53125","1984","882","198400","19290.30303", -135.50255891967538, 59.117991024257556
"05000US02105","Hoonah-Angoon Census Area, Alaska","2107","0.3216425","6550.750895","48.4","48.8","47.8","54091","1984","785","235100","13304.84848", -135.6404027318857, 58.287429298835065
"05000US02110","Juneau City and Borough, Alaska","32524","12.03698","2702.006131","37.5","37.9","37.2","87436","1980","1184","329500","5758.181818", -134.17761368642093, 58.456598112057854
"05000US02122","Kenai Peninsula Borough, Alaska","57637","3.585487","16075.08268","40.5","39.9","41.1","64891","1987","970","229200","3207.878788", -151.57198564453392, 60.25925559150321
"05000US02130","Ketchikan Gateway Borough, Alaska","13715","2.822942","4858.405534","39.2","38.7","39.6","64162","1976","1078","257100","4650.909091", -130.92915077444613, 55.58536112027734
"05000US02150","Kodiak Island Borough, Alaska","13918","2.124772","6550.350782","32.7","32.6","32.8","73068","1979","1254","266700","11157.57576", -153.7822372807502, 57.666451719937
"05000US02158","Kusilvak Census Area, Alaska","7993","0.4679369","17081.36225","23.3","23.7","22.8","38160","1984","607","101300","3870.909091", -163.38126355044756, 62.155424966938476
"05000US02164","Lake and Peninsula Borough, Alaska","1411","0.06016995","23450.24477","31.9","34.9","29.3","43864","1985","743","143800","20391.51515", -156.18433187658678, 58.64206118620329
"05000US02170","Matanuska-Susitna Borough, Alaska","98679","4.010047","24607.94104","34.8","34.6","35","73908","1992","1079","230100","1780.606061", -149.57065505704045, 62.31573823668442
"05000US02180","Nome Census Area, Alaska","9879","0.4302147","22962.95293","27.7","28","27.4","51563","1982","1260","138300","9455.757576", -164.02849078529727, 64.91081321365665
"05000US02185","North Slope Borough, Alaska","9681","0.1089724","88839.03954","33.8","36.4","28.9","72027","1984","1057","154100","7607.878788", -153.4792381148627, 69.31202725276047
"05000US02188","Northwest Arctic Borough, Alaska","7723","0.2167229","35635.36194","26.3","26.8","25.7","61341","1981","1226","146400","15153.93939", -159.72102615197468, 67.0529960512209
"05000US02195","Petersburg Borough, Alaska","3196","1.095427","2917.583643","40.8","39.3","41.8","63940","1975","912","213400","7003.030303", -132.93171107667524, 57.11787939263222
"05000US02198","Prince of Wales-Hyder Census Area, Alaska","6374","1.211318","5262.038552","40.5","41.4","39.3","51887","1987","834","171100","5845.454545", -133.02275017880106, 55.799598205162795
"05000US02220","Sitka City and Borough, Alaska","8921","3.107948","2870.382955","39.1","38.2","40.2","70160","1979","1019","341600","8300.606061", -135.31523085426056, 57.24048690488083
"05000US02230","Skagway Municipality, Alaska","1014","2.241777","452.3197976","44.1","44","44.4","64853","1976","1028","305700","12160", -135.3374462162304, 59.56170197656247
"05000US02240","Southeast Fairbanks Census Area, Alaska","6970","0.2814159","24767.60987","36.4","37.7","35.7","63713","1983","1132","201600","8780", -143.20678535037337, 63.876911306672255
"05000US02261","Valdez-Cordova Census Area, Alaska","9522","0.2781097","34238.2842","37.6","36.8","38","82511","1979","879","227900","19160.60606", -144.46842117100155, 61.56177115647452
"05000US02275","Wrangell City and Borough, Alaska","2401","0.9447211","2541.490818","48.8","49.5","48.3","52986","1977","759","183300","12289.69697", -132.01974817026078, 56.32939686223943
"05000US02282","Yakutat City and Borough, Alaska","646","0.08445047","7649.454611","40.5","44.2","34.3","66875","1983","975","165800","7965.454545", -140.3492225175883, 59.88812434383826
"05000US02290","Yukon-Koyukuk Census Area, Alaska","5600","0.03848983","145492.9726","35.2","35.6","34.1","38451","1983","631","90800","2824.242424", -151.39151620681722, 65.5087322622437
"05000US04001","Apache County, Arizona","72346","6.460927","11197.4642","33.5","32.6","34.7","32460","1986","503","77900","1867.272727", -109.48882256798636, 35.395524866024076
"05000US04003","Cochise County, Arizona","128177","20.79251","6164.574983","40.3","38.7","42.1","45383","1985","790","140700","2252.727273", -109.75116580441302, 31.879608423790188
"05000US04005","Coconino County, Arizona","138064","7.415355","18618.6646","30.7","30.6","30.8","51106","1987","1025","231300","4367.272727", -111.77050018887485, 35.838740269757054
"05000US04007","Gila County, Arizona","53179","11.17677","4757.992973","48.9","47.5","50.5","40593","1983","762","139800","4158.787879", -110.81170547690903, 33.79974727490787
"05000US04009","Graham County, Arizona","37529","8.118407","4622.704945","32.4","32.7","31.9","47422","1984","794","121400","4371.515152", -109.88739796674588, 32.93269957474447
"05000US04011","Greenlee County, Arizona","9224","5.00766","1841.978153","33.3","32.4","34.8","51813","1976","421","81600","4111.515152", -109.24013308376817, 33.21522152533122
"05000US04012","La Paz County, Arizona","20304","4.512374","4499.627087","55.1","54.9","55.3","36321","1984","562","71200","6441.212121", -113.98129511587655, 33.72928181346681
"05000US04013","Maricopa County, Arizona","4088549","444.4465","9199.192089","35.8","34.7","37","55676","1989","989","204900","686.6666667", -112.49129532193668, 33.34880745855243
"05000US04015","Mohave County, Arizona","203629","15.29769","13311.09065","49.7","48.8","50.6","39856","1992","791","130000","2811.515152", -113.75795314932586, 35.704097776122026
"05000US04017","Navajo County, Arizona","108209","10.8754","9949.889572","35.8","34.6","37.3","36868","1987","681","106100","3050.30303", -110.32140171746285, 35.39965850686425
"05000US04019","Pima County, Arizona","1003338","109.2103","9187.214792","38.1","36.5","39.9","46764","1984","831","160800","629.6969697", -111.78989485549394, 32.09742497261283
"05000US04021","Pinal County, Arizona","397604","74.09901","5365.84812","38.3","37.3","39.3","51190","2001","990","142200","1404.242424", -111.34467075732007, 32.9043918517499
"05000US04023","Santa Cruz County, Arizona","46547","37.63131","1236.922018","36.4","33.5","39.2","38941","1987","627","135200","4281.212121", -110.84659001271407, 31.526026297582575
"05000US04025","Yavapai County, Arizona","218586","26.90782","8123.511083","51.9","50.5","53.2","46638","1992","892","199300","2845.454545", -112.55390145941321, 34.599896033727234
"05000US04027","Yuma County, Arizona","203292","36.86815","5514.027537","34","32.4","36.3","41467","1991","831","113400","1086.060606", -113.905585748766, 32.76942517647784
"05000US05001","Arkansas County, Arkansas","18569","18.7793","988.8013195","41.2","41","41.3","37330","1973","632","77600","1795.757576", -91.37491097049325, 34.29080902397872
"05000US05003","Ashley County, Arkansas","20989","22.68226","925.3486086","41.5","39.5","42.9","36352","1976","616","70900","2611.515152", -91.7684567929863, 33.19121058789038
"05000US05005","Baxter County, Arkansas","40992","73.95492","554.2836368","51.8","50.4","52.8","38115","1985","638","123100","2863.636364", -92.33694705588393, 36.28720813528571
"05000US05007","Benton County, Arkansas","245231","289.3643","847.4820424","35.1","34.2","35.8","59016","1993","814","155900","1438.181818", -94.25619856898527, 36.338723682356836
"05000US05009","Boone County, Arkansas","37301","63.18658","590.3310255","42.4","40.6","43.9","38664","1979","606","114400","2947.878788", -93.09153326317457, 36.30859027388026
"05000US05011","Bradley County, Arkansas","11096","17.09085","649.2364042","40.9","38.9","43.3","34665","1977","575","72500","3474.545455", -92.1623894694644, 33.466419149706304
"05000US05013","Calhoun County, Arkansas","5210","8.288731","628.5643084","44.9","42.5","46.8","35446","1977","645","71800","4953.333333", -92.50304364117879, 33.55803068873305
"05000US05015","Carroll County, Arkansas","27690","43.9538","629.9796787","44.4","44.1","45","38145","1984","585","118500","5689.69697", -93.53823946626255, 36.341018488656744
"05000US05017","Chicot County, Arkansas","11189","17.36586","644.3101111","43.7","40.9","45.7","29628","1976","571","59600","2922.424242", -91.293977965171, 33.26721178952083
"05000US05019","Clark County, Arkansas","22684","26.19175","866.0742521","33.6","31.6","35.7","35595","1981","584","92700","3019.393939", -93.17636626602494, 34.05097817787248
"05000US05021","Clay County, Arkansas","15202","23.77363","639.4479171","44","42.7","45.8","32404","1971","513","66700","2431.515152", -90.41754947533252, 36.368263490986486
"05000US05023","Cleburne County, Arkansas","25587","46.21174","553.6904851","47.9","46.7","49.3","41717","1988","679","126100","4116.969697", -92.0267250456871, 35.538100198092906
"05000US05025","Cleveland County, Arkansas","8421","14.08704","597.7836747","42.5","41","43.8","42429","1984","651","84000","2643.030303", -92.18518592759084, 33.89836745530335
"05000US05027","Columbia County, Arkansas","24168","31.54813","766.0674876","36","34.5","36.8","36507","1977","645","77100","3671.515152", -93.22731422824606, 33.214289926992066
"05000US05029","Conway County, Arkansas","21060","38.13443","552.2567796","41","39.6","42.5","38266","1980","573","100300","4165.454545", -92.70129612231824, 35.26224369448872
"05000US05031","Craighead County, Arkansas","102884","145.4643","707.2800276","33.9","32.6","35.2","43892","1989","699","131700","2352.121212", -90.63283338250204, 35.83079051809672
"05000US05033","Crawford County, Arkansas","61927","104.752","591.1774603","38.8","38.1","39.4","41792","1987","654","109500","2187.272727", -94.24282229075092, 35.589084955615945
"05000US05035","Crittenden County, Arkansas","49511","81.12172","610.3297591","34.7","33.1","35.8","39407","1981","697","102800","3381.212121", -90.30883795692225, 35.20794243546175
"05000US05037","Cross County, Arkansas","17329","28.11412","616.3806288","40.3","38.2","41.9","39306","1977","647","83900","2548.484848", -90.77121489967342, 35.29571110801311
"05000US05039","Dallas County, Arkansas","7738","11.59448","667.3862952","43.4","41","45.2","35745","1974","608","61000","7276.363636", -92.65444397207114, 33.969811049373085
"05000US05041","Desha County, Arkansas","12234","15.92667","768.1453474","39.3","39.3","39.3","26519","1975","538","58800","3161.212121", -91.25398253001806, 33.83328448368688
