Geo_GEOID,Geo_NAME,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T057_001,SE_T098_001,SE_T104_001,ACS16_5yr_B25077001,ACS16_5yr_B25077001s
05000US08061,"Kiowa County, Colorado",1465,0.8287095,1767.808777,40.7,38.6,42.2,38385,1966,589,82700,6868.484848
05000US08063,"Kit Carson County, Colorado",8174,3.78282,2160.821601,39.2,38.1,42.1,44449,1970,760,123400,7837.575758
05000US08065,"Lake County, Colorado",7401,19.63552,376.9190714,39.4,39.8,38.7,46928,1965,844,184200,15688.48485
05000US08067,"La Plata County, Colorado",53994,31.95324,1689.78179,39,38.2,40,61910,1987,1021,340500,4150.30303
05000US08069,"Larimer County, Colorado",325228,125.2716,2596.18216,35.6,34.5,36.8,61942,1987,1077,282500,2035.757576
05000US08071,"Las Animas County, Colorado",14322,3.000667,4772.938302,45.7,43.8,48.2,42808,1966,691,145800,7060.606061
05000US08073,"Lincoln County, Colorado",5515,2.139521,2577.679304,37.5,35.6,47.3,40438,1969,744,126400,12078.78788
05000US08075,"Logan County, Colorado",21862,11.89058,1838.598542,37.1,36.1,41.4,43340,1964,700,137300,5750.30303
05000US08077,"Mesa County, Colorado",148166,44.50848,3328.938605,38.8,37.1,40.6,50070,1985,875,201500,2723.030303
05000US08079,"Mineral County, Colorado",793,0.9054987,875.7604869,61.2,58.7,63.1,49125,1985,639,277500,13104.24242
05000US08081,"Moffat County, Colorado",13034,2.747909,4743.243746,37.7,36,40,53664,1976,726,170000,5420.606061
05000US08083,"Montezuma County, Colorado",26006,12.81539,2029.2789,43.4,42.2,45.2,41622,1982,745,187700,5927.272727
05000US08085,"Montrose County, Colorado",40866,18.23605,2240.946216,44.6,43.2,45.6,43890,1990,797,193300,3457.575758
05000US08087,"Morgan County, Colorado",28288,22.09162,1280.485315,36.6,35.6,37.5,49495,1971,723,152800,4149.69697
05000US08089,"Otero County, Colorado",18440,14.61217,1261.961306,40.3,40.1,40.5,34477,1958,653,92300,2924.242424
05000US08091,"Ouray County, Colorado",4651,8.587629,541.5929958,53.3,52.7,53.5,62800,1994,1088,399400,15605.45455
05000US08093,"Park County, Colorado",16440,7.493511,2193.89814,50,50,50,61675,1991,1190,251700,6983.636364
05000US08095,"Phillips County, Colorado",4347,6.318976,687.9278699,41,37.6,43,46955,1959,619,138500,9552.121212
05000US08097,"Pitkin County, Colorado",17543,18.0725,970.7013438,43.2,43.2,43.2,69789,1985,1312,552900,76190.90909
05000US08099,"Prowers County, Colorado",12121,7.398097,1638.394445,37.5,35.3,39.6,41037,1962,633,88100,5956.363636
05000US08101,"Pueblo County, Colorado",162158,67.96021,2386.072794,38.8,37.6,40.3,42000,1973,783,142700,1623.636364
05000US08103,"Rio Blanco County, Colorado",6658,2.067079,3220.97055,35.7,35.5,35.7,56771,1978,762,208400,11948.48485
05000US08105,"Rio Grande County, Colorado",11623,12.74513,911.9563859,40.8,40.4,41.4,40177,1975,582,136400,9281.212121
05000US08107,"Routt County, Colorado",23980,10.15233,2362.019753,40,39.4,41.2,63505,1989,1150,424300,22951.51515
05000US08109,"Saguache County, Colorado",6255,1.974079,3168.565822,47.5,47.8,47.4,32457,1984,639,146600,10763.0303
05000US08111,"San Juan County, Colorado",552,1.424459,387.5155437,49,45.9,51.9,41250,1973,1069,224100,36996.9697
05000US08113,"San Miguel County, Colorado",7767,6.036248,1286.726505,41.4,41.5,41.2,58170,1993,1144,505600,37799.39394
05000US08115,"Sedgwick County, Colorado",2367,4.319021,548.0408156,49.5,48.1,49.8,46977,1946,579,94700,6761.212121
05000US08117,"Summit County, Colorado",29269,48.11305,608.3380402,38.2,36.8,39.3,70192,1987,1263,496100,23028.48485
05000US08119,"Teller County, Colorado",23472,42.1368,557.0428156,49.5,49.6,49.5,63723,1988,1033,244300,6028.484848
05000US08121,"Washington County, Colorado",4814,1.911771,2518.083809,42.8,41.3,45.1,46315,1957,624,118000,5392.121212
05000US08123,"Weld County, Colorado",278065,69.73998,3987.167669,34,33.6,34.6,62820,1992,926,227100,1841.818182
05000US08125,"Yuma County, Colorado",10150,4.292847,2364.398488,37.2,35.4,38.9,42026,1962,630,134900,6787.272727
05000US09001,"Fairfield County, Connecticut",941618,1506.661,624.969864,39.9,38.2,41.4,86670,1963,1385,413400,2771.515152
05000US09003,"Hartford County, Connecticut",895699,1218.418,735.1329566,40.2,38.2,41.9,68027,1963,1016,234900,910.9090909
05000US09005,"Litchfield County, Connecticut",185141,201.1331,920.4900223,46.4,45.2,47.5,73519,1966,967,249500,2461.212121
05000US09007,"Middlesex County, Connecticut",164438,445.2653,369.3034068,44.7,43.5,46,79837,1970,1101,283800,1870.30303
05000US09009,"New Haven County, Connecticut",860874,1424.105,604.501729,39.8,38.2,41.3,62715,1961,1075,244000,1090.909091
05000US09011,"New London County, Connecticut",272033,408.9846,665.1423806,40.9,38.8,42.8,67574,1967,1039,241500,1857.575758
05000US09013,"Tolland County, Connecticut",151689,369.682,410.3229513,37.8,36.3,39.4,80129,1973,1061,247800,2550.30303
05000US09015,"Windham County, Connecticut",117078,228.2771,512.8766311,40.7,39.5,41.7,60689,1969,852,196900,1890.909091
05000US10001,"Kent County, Delaware",171474,292.4571,586.3219876,37.2,35.4,38.6,55184,1991,1006,199800,2025.454545
05000US10003,"New Castle County, Delaware",551997,1294.8,426.3183304,37.6,36.2,39,66283,1973,1064,244300,1177.575758
05000US10005,"Sussex County, Delaware",211224,225.6443,936.0925533,47.6,46.1,48.9,54218,1992,968,231600,2063.030303
05000US11001,"District of Columbia, District of Columbia",659009,10777.79,61.14506785,33.8,33.6,34,72935,1951,1362,506100,5958.787879
05000US12001,"Alachua County, Florida",256581,293.2174,875.0537655,31,30.2,32,44702,1985,885,165700,1538.181818
05000US12003,"Baker County, Florida",27312,46.66882,585.2301277,36.5,35.1,38.7,53327,1990,695,108600,5647.878788
05000US12005,"Bay County, Florida",178361,235.1621,758.4599033,39.7,38.3,41,48577,1987,943,162500,1937.575758
